Air temperature (degC)
-4
-4.6
-4.4
-6.5
-11.2
-2.8
-6
-11.7
-13
-8.9
-6.2
-6.5
-10.1
-3
-5.3
-11.2
-15.8
-10.5
-14
-11.5
-13.3
-21
-22.2
-22.5
-4
-12.1
-15.7
-13.2
-8.3
-7.1
-14.3
-28
-21.4
-18
-23.3
-27.1
-21.5
-15.7
-16
-6.3
-6.2
-8.3
-12.9
-7.2
-2.5
-2.4
-4
-8.5
-13.7
-20.1
-22.1
-15.6
-16.8
-23.8
-20
-9.4
-7.7
-16.7
-16.6
-9.8
-7.8
-15.8
-17.9
-18.6
-22.6
-16.7
-14.3
-9.7
-6.5
-3.4
-7.2
-9
-9.4
-13.4
-13.2
-8.7
-4.9
-10.4
-16.6
-11.5
-8.7
-12.3
-8.8
-13.3
-11
-9.2
-6.8
-3.1
-5.4
-3.8
-5.7
-5.7
-2.6
-2
-0.5
0.2
-1.6
-3.8
-4.9
-2.2
-2.2
0.5
0.7
1.9
0.9
3
4.9
4
1.7
-1.5
-1.6
-0.8
2.1
3.8
3.6
3.2
2.8
3.9
1.1
0.9
2.8
2.6
4.2
1.3
2
6.1
3.7
5.3
10
13.7
13.8
14.7
15
15.6
14.9
16.7
7.9
6.4
10
10.6
15.6
16
7.9
7.6
14.5
11.5
9.5
15.3
14
7.8
9
12.3
11.4
8.8
5.4
4.5
4.5
5.7
6.2
8.6
9.6
8.3
4.5
6.5
10.6
14.9
16.4
16.1
14.8
14.8
11.9
12.5
11
11.1
11.1
15.3
16.1
13.9
10.7
11.1
9.5
13.9
17.9
17.8
15.4
13.7
17.7
15.1
18.3
18.6
19.5
21.6
20.7
19.6
17.1
17.3
19.9
23.3
25
24.1
23.5
18.8
20.5
20.6
21.3
22.9
17.4
15.4
16.1
19.2
22.1
23.6
24.2
19.9
15.5
13.6
14
11.8
10.1
15.6
18.6
17
16.4
13.8
11.9
8.7
9.7
10.2
17.1
16.9
13.7
10.7
10.2
9
8.9
9.6
14.6
12.6
10.6
9.1
10.8
12.5
12.2
9.2
13
13.4
11.4
10
9.3
6.6
5.5
7.2
9.7
11
9.8
10.6
9
9.2
7
6.3
5.9
5.9
9.2
10.1
11
9
5.1
2
2.4
3.5
0.4
-0.6
3.2
2
-1.2
-2.6
-2.7
-1.7
-1.3
-3.3
-2.9
3.9
2
0.3
4.9
7.4
11
7
1.5
1.1
3.2
0.6
-0.3
4.7
0.9
-4
-5.5
-3.9
-2.7
-3.8
-8.9
-11.6
-10.1
-1
2.3
-2
-0.1
0.4
3.3
3.5
1.5
1
0.9
-0.3
0.2
2.1
3.3
0.2
2.3
4.4
3.8
-3.4
-4.6
-0.3
-0.6
-0.8
-3.4
-2.6
-5
-6.9
-11.4
-8.1
-1.9
1.3
1
-3.5
-3.2
-6.1
-3.7
-5.2
-7.1
-3.4
-2.7
-2.5
-3.4
-15
-12.3
-5.7
-5.2
-4.4
-7.9
-7
-7
-6.7
-9.6
-22
-24.6
-14.7
-7.6
-8.4
-12.1
-9.4
-3.1
-15.4
-12.8
